O.Corte;Fecha;Articulo;Programado;Cortado;Entrega;Saldo;Corte;;;;Taller;;;;Taller Ext;;;;Limpiado;;  ;;Lavander;;;;Terminacion;;;;Muestras
00961171;11/11/2025;01417001  ;00001;000001; 000000; 000001;11/11/2025;11/11/2025;0;1;11/11/2025;18/11/2025;0;8;  /  /    ;  /  /    ;0;0;  /  /    ;  /  /    ;0;0;18/11/2025;  /  /    ;1;8;  /  /    ;  /  /    ;0;0;  /  /    ;  /  /    ;0;0;17;
00961172;11/11/2025;01414200  ;00001;000001; 000000; 000001;11/11/2025;11/11/2025;0;1;11/11/2025;  /  /    ;1;1;  /  /    ;  /  /    ;0;0;  /  /    ;  /  /    ;0;0;  /  /    ;  /  /    ;0;0;  /  /    ;  /  /    ;0;0;  /  /    ;  /  /    ;0;0;2;
00961173;13/11/2025;11410500  ;00001;000001; 000000; 000001;13/11/2029;13/11/2025;0;1;13/11/2025;18/11/2025;0;6;  /  /    ;  /  /    ;0;0;  /  /    ;  /  /    ;0;0;18/11/2025;  /  /    ;1;6;  /  /    ;  /  /    ;0;0;  /  /    ;  /  /    ;0;0;13;
00961174;14/11/2025;01410800  ;00001;000001; 000000; 000001;14/11/2025;14/11/2025;0;1;14/11/2025;18/11/2025;0;5;  /  /    ;  /  /    ;0;0;  /  /    ;  /  /    ;0;0;18/11/2025;  /  /    ;1;5;  /  /    ;  /  /    ;0;0;  /  /    ;  /  /    ;0;0;11;
00961175;14/11/2025;01414200  ;00001;000001; 000000; 000001;14/11/2025;14/11/2025;0;1;14/11/2025;18/11/2025;0;5;  /  /    ;  /  /    ;0;0;  /  /    ;  /  /    ;0;0;18/11/2025;  /  /    ;1;5;  /  /    ;  /  /    ;0;0;  /  /    ;  /  /    ;0;0;11;
00011507;18/11/2025;01420100  ;00562;000562; 000553; 000009;18/11/2025;18/11/2025;0;1;18/11/2025;26/11/2025;0;9;  /  /    ;  /  /    ;0;0;26/11/2025;01/12/2025;0;6;01/12/2025;15/01/2026;0;46;07/01/2026;14/01/2026;9;8;  /  /    ;  /  /    ;0;0;70;
00011508;19/11/2025;01413500  ;00589;000589; 000589; 000000;20/11/2025;20/11/2025;0;1;20/11/2025;04/12/2025;0;15;  /  /    ;  /  /    ;0;0;04/12/2025;09/12/2025;0;6;04/12/2025;16/12/2025;0;13;11/12/2025;17/12/2025;0;7;  /  /    ;  /  /    ;0;0;42;
00011509;19/11/2025;01418900  ;00572;000602; 000598; 000004;21/11/2025;25/11/2025;0;5;16/12/2025;29/12/2025;0;14;25/11/2025;16/12/2025;0;22;29/12/2025;30/12/2025;0;2;30/12/2025;23/02/2026;0;2;02/01/2026;20/02/2026;4;50;  /  /    ;  /  /    ;0;0;95;
00011510;19/11/2025;01412400  ;00472;000470; 000465; 000005;21/11/2025;21/11/2025;0;1;21/11/2025;28/11/2025;0;8;  /  /    ;  /  /    ;0;0;28/11/2025;02/12/2025;0;5;02/12/2025;05/12/2026;0;5;03/12/2025;08/01/2026;5;37;  /  /    ;  /  /    ;0;0;56;
00011511;20/11/2025;10412300  ;00114;000114; 000114; 000000;24/11/2025;24/11/2025;0;1;24/11/2025;05/12/2025;0;12;  /  /    ;  /  /    ;0;0;05/12/2025;09/12/2025;0;5;09/12/2025;11/12/2025;0;3;11/12/2025;12/12/2025;0;2;  /  /    ;  /  /    ;0;0;23;
00961176;20/11/2025;01415800  ;00001;000001; 000000; 000001;20/11/2025;20/11/2025;0;1;20/11/2025;  /  /    ;1;1;  /  /    ;  /  /    ;0;0;  /  /    ;  /  /    ;0;0;  /  /    ;  /  /    ;0;0;  /  /    ;  /  /    ;0;0;  /  /    ;  /  /    ;0;0;2;
00011512;21/11/2025;00400600  ;00224;000278; 000000; 000278;21/11/2025;21/11/2025;0;1;21/11/2025;03/12/2025;0;13;  /  /    ;  /  /    ;0;0;  /  /    ;  /  /    ;0;0;03/12/2025;  /  /    ;278;13;  /  /    ;  /  /    ;0;0;  /  /    ;  /  /    ;0;0;27;
00011513;21/11/2025;00400500  ;00129;000407; 000000; 000407;21/11/2025;21/11/2025;0;1;21/11/2025;03/12/2025;0;13;  /  /    ;  /  /    ;0;0;  /  /    ;  /  /    ;0;0;03/12/2025;  /  /    ;407;13;  /  /    ;  /  /    ;0;0;  /  /    ;  /  /    ;0;0;27;
00011514;25/11/2025;01420200  ;00506;000506; 000501; 000005;25/11/2025;25/11/2025;0;1;25/11/2025;02/12/2025;0;8;  /  /    ;  /  /    ;0;0;02/12/2025;05/12/2025;0;4;05/12/2025;09/01/2026;0;36;09/01/2026;24/02/2026;5;47;  /  /    ;  /  /    ;0;0;96;
00011515;26/11/2025;05417100  ;00244;000250; 000250; 000000;27/11/2025;28/11/2025;0;2;28/11/2025;11/12/2025;0;14;  /  /    ;  /  /    ;0;0;11/12/2025;05/01/2026;0;26;15/12/2025;05/01/2026;0;22;17/12/2025;05/01/2026;0;20;  /  /    ;  /  /    ;0;0;84;
00011516;26/11/2025;05419200  ;00066;000070; 000070; 000000;27/11/2025;28/11/2025;0;2;28/11/2025;04/12/2025;0;7;  /  /    ;  /  /    ;0;0;04/12/2025;05/12/2025;0;2;05/12/2025;11/12/2025;0;7;11/12/2025;15/12/2025;0;5;  /  /    ;  /  /    ;0;0;23;
00011517;26/11/2025;05411900  ;00104;000108; 000108; 000000;26/11/2025;28/11/2025;0;3;28/11/2025;18/12/2025;0;21;  /  /    ;  /  /    ;0;0;18/12/2025;22/12/2025;0;5;22/12/2025;27/12/2025;0;6;27/12/2025;30/12/2025;0;4;  /  /    ;  /  /    ;0;0;39;
00011518;26/11/2025;01414200  ;00602;000603; 000601; 000002;28/11/2025;28/11/2025;0;1;28/11/2025;10/12/2025;0;13;  /  /    ;  /  /    ;0;0;10/12/2025;12/12/2025;0;3;12/12/2025;13/02/2026;0;3;16/12/2025;20/02/2026;2;3;  /  /    ;  /  /    ;0;0;23;
