MOHICANO       ;;ESTADO DE PERDIDA Y GANANCIA ACUMULADO PERIODO 2026;
;
;LIN;ESTADO DE RESULTADO;ENERO     ;FEBRERO   ;MARZO     ;ABRIL     ;MAYO      ;JUNIO     ;JULIO     ;AGOSTO    ;SEPTIEMBRE;OCTUBRE   ;NOVIEMBRE ;DICIEMBRE ;ACUMULADO
;01;INGRESOS DE LA EXPLOTACION              ;55250175;132230937;219871379;184114530;108985312;150758770;120120214;0;0;0;0;0;971331317
;02;COSTO DE LA EXPLOTACION                 ;148923086;21662322;72679017;104569746;77473665;111415437;94861505;0;0;0;0;0;631584778
;
;03;MARGEN DE LA EXPLOTACION                ;-93672911;110568615;147192362;79544784;31511647;39343333;25258709;0;0;0;0;0;339746539
;
;04;GASTOS DE ADMINISTRACION                ;101018085;74925672;77796267;81175557;54307172;54091571;56929678;-12571546;0;0;0;0;487672456
;05;GASTOS DE VENTAS                        ;2310213;1536944;2897933;1736079;1927359;1494748;5829989;0;0;0;0;0;17733265
;06;PATENTES E IMPUESTOS                    ;0;0;0;2754523;0;2754523;214947;0;0;0;0;0;5723993
;07;DEPRECIACIONES                          ;0;0;0;0;0;0;0;0;0;0;0;0;0
;08;OTROS                                   ;0;0;0;0;0;0;0;0;0;0;0;0;0
;
;09;RESULTADO OPERACIONAL                   ;-197001209;34105999;66498162;-6121375;-24722884;-18997509;-37715905;12571546;0;0;0;0;-171383175
;
;10;INGRESOS FINANCIEROS                    ;0;23489;0;0;397991;0;0;0;0;0;0;0;421480
;11;GASTOS FINANCIEROS                      ;190607;128918;854850;292940;181902;199039;289220;6343;0;0;0;0;2143819
;12;DIFERENCIAS DE CAMBIO                   ;0;0;0;0;0;0;0;0;0;0;0;0;0
;13;INGRESOS FUERA DE EXPLOTACION           ;17459007;15359104;8322605;97288968;14969821;15535569;15233905;1683050;0;0;0;0;185852029
;14;EGRESOS FUERA DE EXPLOTACION            ;2709;4865;2068;1615;4722;4;995;-16187145;0;0;0;0;-16170167
;
;15;RESULTADO NO OPERACIONAL                ;17265691;15248810;7465687;96994413;15181188;15336526;14943690;17863852;0;0;0;0;200299857
;
;16;RESULTADO ANTES CORRECCION MONETARIA    ;-179735518;49354809;73963849;90873038;-9541696;-3660983;-22772215;30435398;0;0;0;0;28916682
;17;CORRECCION MONETARIA                    ;0;0;0;0;0;0;0;0;0;0;0;0;0
;
;18;UTILIDADES ANTES DE IMPUESTOS           ;-179735518;49354809;73963849;90873038;-9541696;-3660983;-22772215;30435398;0;0;0;0;28916682
;19;IMPUESTOS RENTA 1ra. CATEGORIA          ;0;0;0;0;0;0;0;0;0;0;0;0;0
;
;20;UTILIDAD / PERDIDA DEL EJERCICIO        ;-179735518;49354809;73963849;90873038;-9541696;-3660983;-22772215;30435398;0;0;0;0;28916682
