ARTICULO;CORTE;FECHA;programa;PROCESO;BODEGA;SALDO;CORTE;TALLER;T.EXTERNO;LIMPIADO;LAVANDERIA;TERMINACION;MUESTRA;SEGUNDA;TALLER
01431100  ;00961303;07/04/2026;0000000;000005;000000; 00005; 000000; 000000; 000000; 000000; 000005; 000000; 000000;000000;MANUFACTURAS TIERRA DEL FUEGO LTDA.               
01431100  ;00961314;10/04/2026;0000005;000000;000000; 00000; 000000; 000000; 000000; 000000; 000000; 000000; 000000;000000;MANUFACTURAS TIERRA DEL FUEGO LTDA.               
01431100  ;00011592;20/04/2026;0000000;000606;000000; 00606; 000606; 000000; 000000; 000000; 000000; 000000; 000000;000000;MANUFACTURAS TIERRA DEL FUEGO LTDA.               
01431200  ;00961236;26/01/2025;0000000;000001;000000; 00001; 000000; 000000; 000000; 000000; 000000; 000001; 000000;000000;MANUFACTURAS TIERRA DEL FUEGO LTDA.               
01431200  ;00961244;13/02/2026;0000000;000001;000001; 00000; 000000; 000000; 000000; 000000; 000000; 000000; 000000;000000;MANUFACTURAS TIERRA DEL FUEGO LTDA.               
01431200  ;00961293;30/03/2026;0000000;000001;000000; 00001; 000000; 000000; 000000; 000000; 000000; 000001; 000000;000000;MANUFACTURAS TIERRA DEL FUEGO LTDA.               
01431300  ;00961245;13/02/2026;0000000;000001;000001; 00000; 000000; 000000; 000000; 000000; 000000; 000000; 000000;000000;MANUFACTURAS TIERRA DEL FUEGO LTDA.               
01431300  ;00961264;11/03/2026;0000000;000005;000000; 00005; 000000; 000000; 000000; 000000; 000000; 000005; 000000;000000;MANUFACTURAS TIERRA DEL FUEGO LTDA.               
01431300  ;00961328;24/04/2026;0000000;000005;000000; 00005; 000005; 000000; 000000; 000000; 000000; 000000; 000000;000000;MANUFACTURAS TIERRA DEL FUEGO LTDA.               
01431400  ;00961275;25/03/2026;0000000;000001;000000; 00001; 000001; 000000; 000000; 000000; 000000; 000000; 000000;000000;MANUFACTURAS TIERRA DEL FUEGO LTDA.               
01431400  ;00011590;16/04/2026;0000000;000600;000000; 00600; 000000; 000600; 000000; 000000; 000000; 000000; 000000;000000;MANUFACTURAS TIERRA DEL FUEGO LTDA.               
01431600  ;00961311;10/04/2026;0000000;000001;000000; 00001; 000000; 000001; 000000; 000000; 000000; 000000; 000000;000000;MANUFACTURAS TIERRA DEL FUEGO LTDA.               
01431700  ;00961243;13/02/2026;0000000;000001;000000; 00001; 000000; 000000; 000000; 000000; 000000; 000001; 000000;000000;MANUFACTURAS TIERRA DEL FUEGO LTDA.               
