ARTICULO;CORTE;FECHA;T.PRODUC;M1;PROGRAMA;PROCESO;BODEGA;SALDO;CORTE;TALLER;T.EXTERNO;LIMPIADO;LAVANDERIA;TERMINACION;MUESTRA;SEGUNDA;TALLER
01410300  ;00961007;22/07/2025;PRODUCC;;0000000;000001;000000; 00001; 000000; 000000; 000000; 000000; 000001; 000000; 000000;000000;
01410300  ;00961038;19/08/2025;PRODUCC;;0000000;000001;000000; 00001; 000000; 000000; 000000; 000000; 000001; 000000; 000000;000000;
01410300  ;00961065;09/09/2025;MUESTRAS;;0000000;000001;000000; 00001; 000000; 000001; 000000; 000000; 000000; 000000; 000000;000000;
01410300  ;00961096;26/09/2025;SET;;0000000;000005;000000; 00005; 000000; 000000; 000000; 000000; 000000; 000005; 000000;000000;
01410600  ;00961016;04/08/2025;PRODUCC;;0000000;000001;000000; 00001; 000000; 000000; 000000; 000000; 000000; 000001; 000000;000000;
01410600  ;00961022;08/08/2025;MUESTRAS;;0000000;000001;000000; 00001; 000000; 000000; 000000; 000000; 000000; 000001; 000000;000000;
01410600  ;00961081;15/09/2025;SET;;0000000;000005;000000; 00005; 000000; 000000; 000000; 000000; 000000; 000005; 000000;000000;
01410600  ;00011479;01/10/2025;SET;;0000000;000114;000114; 00000; 000000; 000000; 000000; 000000; 000000; 000000; 000000;000000;
01410600  ;00011520;27/11/2025;PRODUCC;;0000000;000203;000203; 00000; 000000; 000000; 000000; 000000; 000000; 000000; 000000;000000;
01410700  ;00961014;01/08/2025;PRODUCC;;0000000;000001;000000; 00001; 000000; 000000; 000000; 000000; 000000; 000001; 000000;000000;
01410800  ;00961018;07/08/2025;MUESTRAS;;0000000;000001;000000; 00001; 000000; 000000; 000000; 000000; 000000; 000001; 000000;000000;
01410800  ;00961069;10/09/2025;MUESTRAS;;0000000;000001;000000; 00001; 000000; 000001; 000000; 000000; 000000; 000000; 000000;000000;
01410800  ;00961164;11/11/2025;MUESTRAS;;0000000;000001;000000; 00001; 000000; 000000; 000000; 000000; 000001; 000000; 000000;000000;
01410800  ;00961174;14/11/2025;MUESTRAS;;0000000;000001;000000; 00001; 000000; 000000; 000000; 000000; 000001; 000000; 000000;000000;
01410800  ;00961177;01/12/2025;MUESTRAS;;0000000;000001;000000; 00001; 000000; 000000; 000000; 000000; 000001; 000000; 000000;000000;
01410800  ;00961178;01/12/2025;MUESTRAS;;0000000;000001;000000; 00001; 000000; 000000; 000000; 000000; 000001; 000000; 000000;000000;
01410800  ;00011529;05/12/2025;PRODUCC;;0000000;000162;000162; 00000; 000000; 000000; 000000; 000000; 000000; 000000; 000000;000000;MANUFACTURAS TIERRA DEL FUEGO LTDA.               
01410800  ;00011538;15/12/2025;PRODUCC;;0000000;000270;000270; 00000; 000000; 000000; 000000; 000000; 000000; 000000; 000000;000000;MANUFACTURAS TIERRA DEL FUEGO LTDA.               
01410900  ;00961015;01/08/2025;PRODUCC;;0000000;000001;000000; 00001; 000000; 000000; 000000; 000000; 000000; 000001; 000000;000000;MANUFACTURAS TIERRA DEL FUEGO LTDA.               
01410900  ;00961049;25/08/2025;MUESTRAS;;0000000;000001;000000; 00001; 000000; 000000; 000000; 000000; 000000; 000001; 000000;000000;MANUFACTURAS TIERRA DEL FUEGO LTDA.               
01410900  ;00961070;10/09/2025;MUESTRAS;;0000000;000001;000001; 00000; 000000; 000000; 000000; 000000; 000000; 000000; 000000;000000;MANUFACTURAS TIERRA DEL FUEGO LTDA.               
01410900  ;00961095;26/09/2025;SET;;0000000;000004;000000; 00004; 000000; 000000; 000000; 000000; 000000; 000004; 000000;000000;MANUFACTURAS TIERRA DEL FUEGO LTDA.               
01410900  ;00011503;06/11/2025;PRODUCC;;0000000;000602;000602; 00000; 000000; 000000; 000000; 000000; 000000; 000000; 000000;000000;MANUFACTURAS TIERRA DEL FUEGO LTDA.               
01411000  ;00961026;08/08/2025;MUESTRAS;;0000000;000001;000000; 00001; 000000; 000000; 000000; 000000; 000000; 000001; 000000;000000;MANUFACTURAS TIERRA DEL FUEGO LTDA.               
01411000  ;00961050;25/08/2025;MUESTRAS;;0000000;000001;000000; 00001; 000000; 000001; 000000; 000000; 000000; 000000; 000000;000000;MANUFACTURAS TIERRA DEL FUEGO LTDA.               
01411000  ;00961120;09/10/2025;MUESTRAS;;0000000;000001;000000; 00001; 000000; 000000; 000000; 000000; 000001; 000000; 000000;000000;MANUFACTURAS TIERRA DEL FUEGO LTDA.               
01411000  ;00011491;23/10/2025;PRODUCC;;0000000;000602;000598; 00004; 000000; 000001; 000000; 000000; 000000; 000003; 000000;000000;MANUFACTURAS TIERRA DEL FUEGO LTDA.               
01411000  ;00961150;23/10/2025;SET;;0000000;000004;000000; 00004; 000000; 000000; 000000; 000000; 000004; 000000; 000000;000000;MANUFACTURAS TIERRA DEL FUEGO LTDA.               
01411100  ;00961020;07/08/2025;MUESTRAS;;0000000;000001;000000; 00001; 000000; 000000; 000000; 000000; 000000; 000001; 000000;000000;MANUFACTURAS TIERRA DEL FUEGO LTDA.               
01411100  ;00961047;25/08/2025;MUESTRAS;;0000000;000001;000000; 00001; 000001; 000000; 000000; 000000; 000000; 000000; 000000;000000;MANUFACTURAS TIERRA DEL FUEGO LTDA.               
01411100  ;00961048;25/08/2025;MUESTRAS;;0000000;000001;000000; 00001; 000001; 000000; 000000; 000000; 000000; 000000; 000000;000000;MANUFACTURAS TIERRA DEL FUEGO LTDA.               
01411100  ;00961121;09/10/2025;MUESTRAS;;0000000;000001;000000; 00001; 000000; 000000; 000000; 000000; 000001; 000000; 000000;000000;MANUFACTURAS TIERRA DEL FUEGO LTDA.               
01411200  ;00961019;07/08/2025;MUESTRAS;;0000000;000001;000000; 00001; 000000; 000000; 000000; 000000; 000001; 000000; 000000;000000;MANUFACTURAS TIERRA DEL FUEGO LTDA.               
01411200  ;00961053;26/08/2025;PRODUCC;;0000000;000001;000000; 00001; 000000; 000000; 000000; 000000; 000000; 000001; 000000;000000;MANUFACTURAS TIERRA DEL FUEGO LTDA.               
01411200  ;00961122;09/10/2025;MUESTRAS;;0000000;000001;000000; 00001; 000000; 000000; 000000; 000000; 000001; 000000; 000000;000000;MANUFACTURAS TIERRA DEL FUEGO LTDA.               
01411300  ;00961025;08/08/2025;MUESTRAS;;0000000;000002;000000; 00002; 000000; 000000; 000000; 000000; 000000; 000002; 000000;000000;MANUFACTURAS TIERRA DEL FUEGO LTDA.               
01411300  ;00961123;09/10/2025;MUESTRAS;;0000000;000001;000000; 00001; 000000; 000000; 000000; 000000; 000001; 000000; 000000;000000;MANUFACTURAS TIERRA DEL FUEGO LTDA.               
01411300  ;00011502;04/11/2025;PRODUCC;;0000000;000501;000501; 00000; 000000; 000000; 000000; 000000; 000000; 000000; 000000;000000;MANUFACTURAS TIERRA DEL FUEGO LTDA.               
01411300  ;00961157;05/11/2025;SET;;0000000;000008;000000; 00008; 000000; 000000; 000000; 000000; 000008; 000000; 000000;000000;MANUFACTURAS TIERRA DEL FUEGO LTDA.               
01411400  ;00961119;07/10/2025;MUESTRAS;;0000000;000002;000002; 00000; 000000; 000000; 000000; 000000; 000000; 000000; 000000;000000;MANUFACTURAS TIERRA DEL FUEGO LTDA.               
01411500  ;00961054;27/08/2029;MUESTRAS;;0000000;000001;000000; 00001; 000000; 000000; 000000; 000000; 000000; 000001; 000000;000000;MANUFACTURAS TIERRA DEL FUEGO LTDA.               
01411500  ;00961090;22/05/2025;SET;;0000000;000005;000000; 00005; 000000; 000000; 000000; 000000; 000005; 000000; 000000;000000;MANUFACTURAS TIERRA DEL FUEGO LTDA.               
01411600  ;00961059;02/09/2025;MUESTRAS;;0000000;000001;000000; 00001; 000000; 000000; 000000; 000000; 000000; 000001; 000000;000000;MANUFACTURAS TIERRA DEL FUEGO LTDA.               
01411600  ;00961084;16/09/2025;MUESTRAS;;0000000;000001;000000; 00001; 000000; 000000; 000000; 000000; 000001; 000000; 000000;000000;MANUFACTURAS TIERRA DEL FUEGO LTDA.               
